algoritmo,nivel,encontrada,movimientos,expandidos,generados,visitados,tiempo_segundos
bfs,level_1.json,si,39,497706,1570401,516278,2.8253
dfs,level_1.json,si,2998,505630,1457058,508202,2.5523
dls,level_1.json,si,2998,505630,1457058,508202,2.5459
iddfs,level_1.json,si,39,17554026,48046830,497706,100.9014
astar_h1,level_1.json,si,39,229732,730982,229732,2.0509
astar_h2,level_1.json,si,39,190575,607143,190575,2.1655
astar_h1_player,level_1.json,si,39,178878,571924,178878,1.9015
astar_h2_player,level_1.json,si,39,147823,473048,147823,2.0298
greedy_h1,level_1.json,si,52,13567,42685,13567,0.1518
greedy_h2,level_1.json,si,65,9831,31620,9831,0.1427
greedy_h1_player,level_1.json,si,47,365,1220,365,0.0419
greedy_h2_player,level_1.json,si,52,573,1908,573,0.0457
astar_h2_deadlock,level_1.json,si,39,190575,607143,190575,2.4201
astar_h2_player_deadlock,level_1.json,si,39,147823,473048,147823,2.0542
greedy_h2_deadlock,level_1.json,si,65,9831,31620,9831,0.1763
greedy_h2_player_deadlock,level_1.json,si,52,573,1908,573,0.0454
bfs,level_2.json,si,78,30376,70559,30395,0.1600
dfs,level_2.json,si,174,2102,4887,2196,0.0454
dls,level_2.json,si,174,2102,4887,2196,0.0456
iddfs,level_2.json,si,78,9777772,21877935,30376,46.6316
astar_h1,level_2.json,si,78,30324,70444,30324,0.2287
astar_h2,level_2.json,si,78,30316,70428,30316,0.2505
astar_h1_player,level_2.json,si,78,29953,69621,29953,0.2595
astar_h2_player,level_2.json,si,78,29919,69549,29919,0.2750
greedy_h1,level_2.json,si,96,937,2221,937,0.0450
greedy_h2,level_2.json,si,96,757,1796,757,0.0446
greedy_h1_player,level_2.json,si,86,1893,4674,1893,0.0538
greedy_h2_player,level_2.json,si,86,1824,4505,1824,0.0566
astar_h2_deadlock,level_2.json,si,78,30316,70428,30316,0.2694
astar_h2_player_deadlock,level_2.json,si,78,29919,69549,29919,0.2840
greedy_h2_deadlock,level_2.json,si,96,757,1796,757,0.0444
greedy_h2_player_deadlock,level_2.json,si,86,1824,4505,1824,0.0564
bfs,level_3.json,si,40,1424013,4370661,1460305,8.1471
dfs,level_3.json,si,2996,1172880,3147099,1175288,5.9114
dls,level_3.json,si,2996,1172880,3147099,1175288,5.8542
iddfs,level_3.json,si,40,59798414,160038643,1424014,336.7608
astar_h1,level_3.json,si,40,599289,1855873,599289,5.5010
astar_h2,level_3.json,si,40,482546,1496456,482546,5.4795
astar_h1_player,level_3.json,si,40,421112,1306725,421112,4.4636
astar_h2_player,level_3.json,si,40,335332,1042160,335332,4.4654
greedy_h1,level_3.json,si,52,1168,3578,1168,0.0449
greedy_h2,level_3.json,si,54,908,2799,908,0.0440
greedy_h1_player,level_3.json,si,80,616,2020,616,0.0419
greedy_h2_player,level_3.json,si,74,750,2423,750,0.0447
astar_h2_deadlock,level_3.json,si,40,482546,1496456,482546,5.8364
astar_h2_player_deadlock,level_3.json,si,40,335332,1042160,335332,4.7457
greedy_h2_deadlock,level_3.json,si,54,908,2799,908,0.0445
greedy_h2_player_deadlock,level_3.json,si,74,750,2423,750,0.0459
